# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40006004	Ene ni oglog chini nuuts baihyn tuld bogood nuutsaar haragch Etseg chini chamd butsaaj tolno .
40006005	Zalbirahdaa hoyor nuurt humuus shig baij bolohgui . Uchir ni ted humuust haragdahyn tuld sinagogt ba gudamjny buland zogsood zalbirah durtai aj . Uneneer Bi ta nart heliye , ted shagnalaa buren avsan yum .
40006006	Harin chi zalbirahdaa dotood oroondoo orj haalgaa haagaad , nuutsaar orshigch Etsegtee zalbir . Nuutsaar haragch Etseg chini chamd butsaaj tolno .
40006007	Zalbiran baihdaa hari undestnuud shig utgagui hooson ug buu davt . Ted nar olon ug helsniih ni toloo Burhan oorsdiig ni sonsono hemeen boddog yum .
40006008	Tiimees teden shig baij bolohgui . Etseg tani ta nart yuu heregtei baigaag guihaas chini omno meddeg .
40006009	Tiimd iinhuu zalbir . " Tengert baigaa bidnii Etsegmini , Tany ner ariunaar duursgagdag .
40006010	Tany haanchlal ireh boltugai . Husel tani tengert shigee gazar deer biyelegdeh boltugai .
40006011	Odor tutmyn mini talhyg ene odor bidend ogooch .
40006012	Bid ortonguudee uuchilsny adil bidnii oriig mon uuchlaach .
40006013	Bidniig soriltod buu oruulaach , Harin buzar muugaas getelgeech . Uchir ni haanchlal , huch chadal , aldar sur uurd Tanyh . Amyen . "
